"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"180","034310","NICE",13480,-420,-3.02,1548,8.71,NA,NA,20040,0.67,375,2.78
"181","030190","NICE평가정보",12600,-520,-3.96,915,13.77,NA,NA,5044,2.5,330,2.62
"182","008260","NI스틸",6100,-40,-0.65,771,7.91,NA,NA,4960,1.23,75,1.23
"183","004250","NPC",6970,-190,-2.65,624,11.17,NA,NA,7686,0.91,100,1.43
"184","004255","NPC우",3620,-100,-2.69,NA,NA,NA,NA,NA,NA,105,2.9
"185","010060","OCI",95800,-1500,-1.54,27387,3.5,33036,2.9,128783,0.74,2000,2.09
"186","178920","PI첨단소재",34100,100,0.29,2179,15.65,1486,22.94,11097,3.07,1090,3.2
"187","024940","PN풍년",7590,-230,-2.94,228,33.29,NA,NA,4757,1.6,25,0.33
"188","005490","POSCO홀딩스",332000,-14000,-4.05,87330,3.8,41819,7.94,666803,0.5,17000,5.12
"189","218410","RFHIC",23050,-650,-2.74,239,96.44,921,25.01,10675,2.16,150,0.65
"190","327260","RF머트리얼즈",13490,-580,-4.12,NA,NA,NA,NA,4337,3.11,0,0
"191","091340","S&K폴리텍",3990,0,0,339,11.77,NA,NA,8546,0.47,250,6.27
"192","010950","S-Oil",82200,-1400,-1.67,11840,6.94,14569,5.64,60024,1.37,3800,4.62
"193","010955","S-Oil우",50800,-600,-1.17,NA,NA,NA,NA,NA,NA,3825,7.53
"194","419530","SAMG엔터",32500,-1950,-5.66,NA,NA,NA,NA,NA,NA,0,0
"195","019550","SBI인베스트먼트",1137,-20,-1.73,138,8.24,NA,NA,819,1.39,0,0
"196","034120","SBS",41500,-5000,-10.75,7693,5.39,6951,5.97,37150,1.12,1000,2.41
"197","046140","SBS콘텐츠허브",7350,-820,-10.04,767,9.58,NA,NA,8636,0.85,75,1.02
"198","151910","SBW생명과학",739,-12,-1.6,NA,NA,NA,NA,217,3.41,0,0
"199","036120","SCI평가정보",4270,180,4.4,168,25.42,NA,NA,838,5.1,40,0.94
"200","099220","SDN",1897,-37,-1.91,NA,NA,NA,NA,1831,1.04,0,0
"201","036540","SFA반도체",4295,-135,-3.05,322,13.34,207,20.72,2436,1.76,0,0
"202","255220","SG",1168,-21,-1.77,NA,NA,NA,NA,1839,0.64,0,0
"203","040610","SG&G",1693,-20,-1.17,441,3.84,NA,NA,8743,0.19,0,0
"204","049470","SGA",895,-28,-3.03,88,10.17,NA,NA,901,0.99,0,0
"205","184230","SGA솔루션즈",1003,-36,-3.46,37,27.11,NA,NA,793,1.26,0,0
"206","005090","SGC에너지",29950,-450,-1.48,4270,7.01,7226,4.14,41630,0.72,1500,5.01
"207","016250","SGC이테크건설",29700,0,0,22121,1.34,14492,2.05,65998,0.45,1500,5.05
"208","001380","SG글로벌",1475,-37,-2.45,NA,NA,NA,NA,2735,0.54,0,0
"209","004060","SG세계물산",558,-14,-2.45,232,2.41,NA,NA,1207,0.46,0,0
"210","001770","SHD",36550,-900,-2.4,4768,7.67,NA,NA,33420,1.09,100,0.27
"211","002360","SH에너지화학",865,-7,-0.8,6,144.17,NA,NA,835,1.04,10,1.16
"212","009160","SIMPAC",5600,-10,-0.18,1621,3.45,NA,NA,9786,0.57,200,3.57
"213","123700","SJM",4265,-130,-2.96,456,9.35,NA,NA,11373,0.38,150,3.52
"214","025530","SJM홀딩스",3535,-135,-3.68,314,11.26,NA,NA,11249,0.31,175,4.95
"215","034730","SK",184100,-3800,-2.02,37408,4.92,30896,5.96,375047,0.49,8000,4.35
"216","011790","SKC",94400,-6300,-6.26,6174,15.29,2676,35.28,55782,1.69,1100,1.17
"217","018670","SK가스",125500,-600,-0.48,27773,4.52,24092,5.21,235917,0.53,5100,4.06
"218","001740","SK네트웍스",3965,-50,-1.25,451,8.79,275,14.4,10056,0.39,120,3.03
"219","001745","SK네트웍스우",49450,-850,-1.69,NA,NA,NA,NA,NA,NA,145,0.29
"220","006120","SK디스커버리",33150,-650,-1.92,10478,3.16,NA,NA,121961,0.27,1500,4.52
"221","006125","SK디스커버리우",29300,-450,-1.51,NA,NA,NA,NA,NA,NA,1550,5.29
"222","210980","SK디앤디",20700,-400,-1.9,5910,3.5,3946,5.25,26427,0.78,800,3.86
"223","068400","SK렌터카",6860,-70,-1.01,453,15.14,592,11.58,10651,0.64,0,0
"224","302440","SK바이오사이언스",72300,-1000,-1.36,4844,14.93,708,102.17,20932,3.45,0,0
"225","326030","SK바이오팜",66500,-1200,-1.77,828,80.31,NA,NA,5672,11.72,0,0
"226","402340","SK스퀘어",36600,-1300,-3.43,2653,13.8,252,145.17,117868,0.31,0,0
"227","361610","SK아이이테크놀로지",65100,-2300,-3.41,1394,46.7,815,79.85,31084,2.09,0,0
"228","03473K","SK우",165000,-1100,-0.66,NA,NA,NA,NA,NA,NA,8050,4.88
"229","096770","SK이노베이션",158800,-3200,-1.98,3640,43.63,15824,10.04,206117,0.77,2508,1.58
"230","096775","SK이노베이션우",99900,-1900,-1.87,NA,NA,NA,NA,NA,NA,2558,2.56
"231","001510","SK증권",773,-30,-3.74,92,8.4,NA,NA,1446,0.53,15,1.94
"232","001515","SK증권우",2940,-80,-2.65,NA,NA,NA,NA,NA,NA,20,0.68
"233","285130","SK케미칼",82100,-800,-0.97,8586,9.56,NA,NA,105002,0.78,3000,3.65
"234","28513K","SK케미칼우",38100,-900,-2.31,NA,NA,NA,NA,NA,NA,3050,8.01
"235","017670","SK텔레콤",45100,50,0.11,7191,6.27,4942,9.13,53218,0.85,3295,7.31
"236","000660","SK하이닉스",89100,-2100,-2.3,13989,6.37,NA,NA,90394,0.99,1540,1.73
