"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"184","267260","현대일렉트릭",40200,1900,4.96,"KOSPI","전기전자",1449094827000,NA,NA,4473,8.99,17954,2.24,0,0
"185","078600","대주전자재료",93600,-3800,-3.9,"KOSDAQ","IT부품",1448983504800,1540,60.78,NA,NA,8721,10.73,100,0.11
"186","006280","녹십자",121600,-3300,-2.64,"KOSPI","의약품",1421083020800,10796,11.26,5431,22.39,111693,1.09,2000,1.64
"187","285130","SK케미칼",82100,-800,-0.97,"KOSPI","화학",1416535584300,8586,9.56,NA,NA,105002,0.78,3000,3.65
"188","000150","두산",85600,-2600,-2.95,"KOSPI","기타금융",1414440276000,11890,7.2,11466,7.47,121631,0.7,2000,2.34
"189","010780","아이에스동서",45600,-1700,-3.59,"KOSPI","비금속광물",1408702833600,3447,13.23,5580,8.17,40644,1.12,1200,2.63
"190","086900","메디톡스",210000,3000,1.45,"KOSDAQ","제약",1405680570000,14716,14.27,6740,31.16,57905,3.63,0,0
"191","069620","대웅제약",118800,-4800,-3.88,"KOSPI","의약품",1376485110000,2241,53.01,6998,16.98,51816,2.29,600,0.51
"192","277810","레인보우로보틱스",72300,-500,-0.69,"KOSDAQ","기계·장비",1375693744800,NA,NA,NA,NA,2895,24.97,0,0
"193","096530","씨젠",26150,-50,-0.19,"KOSDAQ","제약",1365709743100,10359,2.52,1557,16.8,20971,1.25,1000,3.82
"194","145720","덴티움",121000,-2900,-2.34,"KOSPI","의료정밀",1339328430000,6434,18.81,10301,11.75,33841,3.58,250,0.21
"195","375500","DL이앤씨",34600,-1150,-3.22,"KOSPI","건설업",1338799355800,26903,1.29,8338,4.15,194338,0.18,2700,7.8
"196","139130","DGB금융지주",7800,-40,-0.51,"KOSPI","기타금융",1319337497400,2886,2.7,2858,2.73,32507,0.24,630,8.08
"197","056190","에스에프에이",36450,-350,-0.95,"KOSDAQ","기계·장비",1308874302000,3254,11.2,3767,9.68,31340,1.16,1170,3.21
"198","120110","코오롱인더",47450,-600,-1.25,"KOSPI","화학",1305780867950,6336,7.49,6349,7.47,80483,0.59,1300,2.74
"199","069960","현대백화점",55500,-800,-1.42,"KOSPI","유통업",1298835475500,8652,6.41,11028,5.03,202283,0.27,1100,1.98
"200","005420","코스모화학",37100,400,1.09,"KOSPI","화학",1298805258800,348,106.61,NA,NA,4803,7.72,0,0
