"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"275","003220","대원제약","KOSPI","의약품",15640,-300,-1.88,343527438800
"276","024890","대원화성","KOSPI","화학",2330,-70,-2.92,96110524160
"277","002880","대유에이텍","KOSPI","운수장비",733,-21,-2.79,84587325531
"278","000300","대유플러스","KOSPI","전기전자",923,48,5.49,111681868402
"279","012800","대창","KOSPI","철강금속",1350,-33,-2.39,123039673650
"280","015230","대창단조","KOSPI","운수장비",7870,-200,-2.48,224863450100
"281","001070","대한방직","KOSPI","섬유의복",52100,0,0,2.7613e+11
"282","006650","대한유화","KOSPI","화학",189400,5200,2.82,1.2311e+12
"283","001440","대한전선","KOSPI","전기전자",1545,-23,-1.47,1922710798905
"284","084010","대한제강","KOSPI","철강금속",14070,-190,-1.33,346779547380
"285","001790","대한제당","KOSPI","음식료품",2870,55,1.95,257429184600
"286","001795","대한제당우","KOSPI","음식료품",2600,85,3.38,16855176000
"287","001130","대한제분","KOSPI","음식료품",152500,-200,-0.13,2.57725e+11
"288","003490","대한항공","KOSPI","운수창고업",23000,-500,-2.13,8469075203000
"289","003495","대한항공우","KOSPI","운수창고업",30200,-300,-0.98,33545978800
"290","005880","대한해운","KOSPI","운수창고업",2445,125,5.39,780388889700
"291","003830","대한화섬","KOSPI","화학",131700,-3300,-2.44,174897600000
"292","016090","대현","KOSPI","섬유의복",2270,-35,-1.52,100520843700
"293","069460","대호에이엘","KOSPI","철강금속",1409,-36,-2.49,73272958271
"294","192080","더블유게임즈","KOSPI","서비스업",47000,-550,-1.16,863601594000
"295","012510","더존비즈온","KOSPI","서비스업",33700,-950,-2.74,1023899820800
"296","004830","덕성","KOSPI","화학",5190,-100,-1.89,81379200000
"297","004835","덕성우","KOSPI","화학",6420,-80,-1.23,8936640000
"298","024900","덕양산업","KOSPI","운수장비",2635,-25,-0.94,85808722300
"299","145720","덴티움","KOSPI","의료정밀",121000,-2900,-2.34,1339328430000
"300","002150","도화엔지니어링","KOSPI","서비스업",8540,-240,-2.73,287968800000
"301","001230","동국제강","KOSPI","철강금속",15430,160,1.05,1472527131910
"302","023450","동남합성","KOSPI","화학",50400,-500,-0.98,1.81944e+11
"303","004140","동방","KOSPI","운수창고업",2525,-45,-1.75,121128709150
"304","007590","동방아그로","KOSPI","화학",6520,-70,-1.06,88786602040
"305","005960","동부건설","KOSPI","건설업",7280,-80,-1.09,166529002640
"306","005965","동부건설우","KOSPI","건설업",32350,550,1.73,7302430200
"307","026960","동서","KOSPI","유통업",19860,-190,-0.95,1.980042e+12
"308","002210","동성제약","KOSPI","의약품",6590,-110,-1.64,172005392300
"309","102260","동성케미컬","KOSPI","서비스업",4500,-5,-0.11,223603776000
"310","000640","동아쏘시오홀딩스","KOSPI","기타금융",98600,400,0.41,626002821800
"311","170900","동아에스티","KOSPI","의약품",64300,200,0.31,543115608400
"312","028100","동아지질","KOSPI","건설업",13310,-340,-2.49,187040718260
"313","282690","동아타이어","KOSPI","화학",11730,-40,-0.34,161088265950
"314","001520","동양","KOSPI","비금속광물",1154,-26,-2.2,275441408702
"315","001527","동양2우B","KOSPI","비금속광물",13020,-170,-1.29,4017568380
"316","084670","동양고속","KOSPI","운수창고업",14200,-10,-0.07,41117079800
"317","082640","동양생명","KOSPI","보험",4325,5,0.12,697875880125
"318","001525","동양우","KOSPI","비금속광물",6570,-30,-0.45,4058492670
"319","008970","동양철관","KOSPI","철강금속",1044,-26,-2.43,124116242760
"320","092780","동양피스톤","KOSPI","운수장비",5100,-150,-2.86,67159146000
"321","049770","동원F&B","KOSPI","음식료품",166800,1200,0.72,643701883200
"322","018500","동원금속","KOSPI","운수장비",996,-25,-2.45,46567913268
"323","006040","동원산업","KOSPI","농업, 임업 및 어업",50200,-300,-0.59,2509129783000
"324","030720","동원수산","KOSPI","농업, 임업 및 어업",9240,-120,-1.28,43001158200
"325","014820","동원시스템즈","KOSPI","화학",39700,-1150,-2.82,1150953895400
"326","014825","동원시스템즈우","KOSPI","화학",29350,0,0,7751657850
"327","163560","동일고무벨트","KOSPI","화학",6920,200,2.98,9.6188e+10
"328","004890","동일산업","KOSPI","철강금속",207000,500,0.24,502019505000
"329","002690","동일제강","KOSPI","철강금속",2400,10,0.42,48720864000
"330","000020","동화약품","KOSPI","의약품",9120,-160,-1.72,254735006400
"331","000150","두산","KOSPI","기타금융",85600,-2600,-2.95,1414440276000
"332","000157","두산2우B","KOSPI","기타금융",81600,300,0.37,72871900800
"333","241560","두산밥캣","KOSPI","기계",38550,250,0.65,3864605349300
"334","034020","두산에너빌리티","KOSPI","기계",16230,30,0.19,10359739375590
"335","000155","두산우","KOSPI","기타금융",49250,-400,-0.81,196825753500
"336","336260","두산퓨얼셀","KOSPI","전기전자",35700,-250,-0.7,2338126018200
"337","33626K","두산퓨얼셀1우","KOSPI","전기전자",10120,-130,-1.27,135245704000
"338","33626L","두산퓨얼셀2우B","KOSPI","전기전자",12700,-150,-1.17,37926010000
"339","016740","두올","KOSPI","운수장비",2790,95,3.53,92256037200
"340","192650","드림텍","KOSPI","전기전자",9590,-100,-1.03,646418716230
"341","024090","디씨엠","KOSPI","철강금속",14000,-200,-1.41,1.596e+11
"342","003160","디아이","KOSPI","의료정밀",5180,-80,-1.52,1.46594e+11
"343","092200","디아이씨","KOSPI","운수장비",3750,-85,-2.22,145832133750
"344","377190","디앤디플랫폼리츠","KOSPI","서비스업",3565,-5,-0.14,2.29586e+11
"345","013570","디와이","KOSPI","기타금융",5830,-70,-1.19,153443460390
"346","210540","디와이파워","KOSPI","기계",12690,-10,-0.08,140119274520
"347","115390","락앤락","KOSPI","화학",6400,-230,-3.47,321282841600
"348","032350","롯데관광개발","KOSPI","서비스업",13920,-240,-1.69,1021842840000
"349","089860","롯데렌탈","KOSPI","서비스업",26950,-650,-2.36,987287997850
"350","330590","롯데리츠","KOSPI","서비스업",3800,-20,-0.52,923281759200
"351","000400","롯데손해보험","KOSPI","보험",1549,-5,-0.32,480710959680
